id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2020-07-04T20:45:00;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2020-07-04T15:45:20;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2020-07-04T17:54:22;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2020-07-04T10:38:47;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2020-07-05T02:01:53;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2020-07-04T13:23:59;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2020-07-04T16:20:31;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2020-07-04T06:23:10;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2020-07-04T09:12:46;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2020-07-04T09:55:11;601;74069
